Event Title,Appearances
b'Claw Machine: Great Success!',"b'Monologue, Special Week'"
b'Claw Machine: Success!',"b'Monologue, Special Week'"
b'Claw Machine: Failure...',"b'Monologue, Special Week'"
b'Claw Machine: Great Success!',"b'Monologue, Special Week'"
b'Claw Machine: Success!',"b'Monologue, Special Week'"
b'Master Trainer',b'Special Week'
b'Dance Lesson',"b'Monologue, Special Week'"
b'Fan Letter',"b'Monologue, Special Week'"
b'Forecast: Gloomy',"b'Monologue, Special Week'"
b'Invasion of the Giant Carrots?',"b'Monologue, Special Week'"
b'A Dangerous Drink',"b'Monologue, Special Week'"
b'A Beautiful Day for Tennis',"b'Maruzensky, Monologue, Special Week, Umamusume A, Umamusume B'"
b'Karaoke Connoisseur \xe2\x99\xaa',"b'Seiun Sky, Special Week'"
b'Early Afternoon Payback',"b'Lady A, Man A, Special Week'"
"b""Because It's Special""","b'Monologue, Special Week'"
b'A Place I Want to Take You',"b'Monologue, Special Week'"
b'Someone I Respect',"b'Monologue, Special Week'"
b'Just a Little More',"b'Monologue, Special Week'"
b'Research Fanatic',"b'Monologue, Special Week'"
"b""Special Week's Alter Ego""","b'Chinese Restaurant Owner, Monologue, Special Week, Spectator A, Spectator B, Spectators'"
b'Could I Be a Genius?!',"b'Caster, Monologue, Special Week'"
b'Night Owl',"b'Monologue, Special Week'"
b'Skin Troubles',"b'Monologue, Special Week'"
b'Race Fatigue',"b'Monologue, Special Week'"
b'After Repeated Races...',"b'Monologue, Special Week'"
b'Victory!',b'Special Week'
b'Solid Showing',b'Special Week'
b'Defeat',b'Special Week'
b'No More Losing!',b'Special Week'
b'Sleep Deprived',b'Special Week'
b'All Refreshed',b'Special Week'
b'Well-Rested!',b'Special Week'
b'Praying at the Shrine!',"b'Monologue, Special Week'"
b'Slacking Off',"b'Monologue, Special Week'"
b'Get Well Soon!',b'Special Week'
"b""Don't Overdo It!""",b'Special Week'
b'At the Infirmary',"b'Monologue, Special Week'"
b'Extra Training',"b'Monologue, Special Week'"
b'Back in Shape!',"b'Monologue, Special Week'"
b'Putting It Away at the Cafeteria',b'Special Week'
"b'Just an Acupuncturist, No Worries! \xe2\x98\x86'","b'???, Monologue, Sasami Anshinzawa, Special Week'"
b'A Place I Miss...',b'Special Week'
b'Migraine Blues',"b'Monologue, Special Week'"
b'How Should I Pose?',"b'King Halo, Monologue, Special Week'"
b'Swimsuit Power Unlocked!',"b'Fuji Kiseki, Monologue, Silence Suzuka, Special Week'"
b'Wear Your Heart on Your Sleeve',"b'Monologue, Special Week'"
b'Best Summer Ever!',"b'Monologue, Special Week'"
"b'Today and Tomorrow, Too'","b'Monologue, Special Week'"
b'To My Dear Mama',"b""Spe's Mother, Special Week, Young Spe"""
b'The Silent Runner',"b'Air Groove, Caster, Monologue, Silence Suzuka, Veteran Trainer A, Veteran Trainer B'"
"b'Frustration, Deterioration'","b""Air Groove, Monologue, Silence Suzuka, Suzuka's Trainer"""
"b'O Umamusume, Why Do You Run?'","b'Monologue, Silence Suzuka'"
"b'Determination, Restoration'","b""Air Groove, Caster, Fan A, Fan B, Monologue, Silence Suzuka, Suzuka's Trainer"""
b'Are Roads Meant to be Traversed Alone?',"b'Monologue, Silence Suzuka'"
b'Set Your Sights',"b'Monologue, Silence Suzuka, Suzuka Fan, Sweets Shop Staff'"
b'Wait for Me at the Finish',"b'Fans, Monologue, Silence Suzuka, Umamusume A, Umamusume B, Umamusume Caster'"
b'Introducing Silence Suzuka!',"b'Monologue, Silence Suzuka, Taiki Shuttle, Umamusume A, Umamusume B'"
b'Before the Debut',"b'Monologue, Silence Suzuka'"
b'After the Debut: To Unseen Sights',"b'Monologue, Silence Suzuka, Special Week'"
b'The Battle Begins',"b'Air Groove, Monologue, Silence Suzuka, Special Week, Umamusume A, Umamusume B'"
"b""New Year's Resolutions""","b'Monologue, Silence Suzuka'"
b'Goal Accomplished: A Secret Place',"b'Monologue, Silence Suzuka'"
b'Why I Run',"b'Monologue, Seiun Sky, Silence Suzuka, Special Week, Umamusume A'"
b'Before the Yayoi Sho',"b'Monologue, Silence Suzuka'"
b'After the Yayoi Sho: Resulting Uncertainty',"b'Caster, Monologue, Silence Suzuka, Umamusume A'"
b'Summer Camp (Year 2) Begins!',"b'Monologue, Silence Suzuka'"
b'At Summer Camp (Year 2)',"b'Monologue, Racing Commentator, Silence Suzuka, Special Week, Umamusume A, Umamusume B'"
b'Summer Camp (Year 2) Ends',"b'Monologue, Silence Suzuka'"
b'Before the Kobe Shimbun Hai',b'Silence Suzuka'
b'After the Kobe Shimbun Hai: Renewed Resolve',"b'Monologue, Silence Suzuka'"
"b""New Year's Shrine Visit""","b'Matikanefukukitaru, Monologue, Silence Suzuka'"
b'Raffle Time!',"b'Monologue, Raffle Clerk, Silence Suzuka'"
"b""Valentine's Day""","b'Monologue, Silence Suzuka'"
b'Before the Kinko Sho',"b'Monologue, Silence Suzuka'"
b'After the Kinko Sho: Re-Emergence',"b'Air Groove, Monologue, Silence Suzuka, Special Week'"
"b""The Empress's Gaze""","b'Air Groove, Monologue, Reporter A, Reporter B, Reporter C, Silence Suzuka'"
b'Fan Fest',"b'El Condor Pasa, Fan A, Fan B, Fan C, Fan D, Monologue, Silence Suzuka'"
b'Before the Takarazuka Kinen',"b'Air Groove, Monologue, Silence Suzuka, Spectator A, Spectator B, Spectator C'"
b'After the Takarazuka Kinen: A Spark Ignited',"b'Air Groove, Caster, El Condor Pasa, Grass Wonder, Monologue, Silence Suzuka, Spectator A, Spectator B'"
b'After the Takarazuka Kinen: Outcome',"b'Air Groove, Caster, El Condor Pasa, Grass Wonder, Monologue, Silence Suzuka, Spectator A, Spectator B'"
b'Faster Than Light',"b'Air Groove, El Condor Pasa, Grass Wonder, Monologue, Silence Suzuka'"
b'Summer Camp (Year 3) Begins!',"b'Monologue, Silence Suzuka'"
b'Summer Camp (Year 3) Ends',"b'Monologue, Silence Suzuka'"
b'Before the Mainichi Okan',"b'Monologue, Silence Suzuka, Special Week'"
"b'After the Mainichi Okan: Onward, to Light'","b'Caster, El Condor Pasa, Grass Wonder, Monologue, Silence Suzuka, Special Week, Spectator A, Spectator B, Spectator C'"
b'Never Give Up',"b'Monologue, Silence Suzuka, Special Week'"
b'Before the Tenno Sho (Autumn)',"b'Monologue, Silence Suzuka, Spectator A, Spectator B'"
b'After the Tenno Sho (Autumn): Beyond Limits',"b'Caster, Monologue, Silence Suzuka, Spectator A, Spectator B, Spectator C'"
"b'Onward, to the Future'","b'Caster, Monologue, Silence Suzuka'"
b'Holiday Season',"b'Monologue, Silence Suzuka'"
b'Hot Spring Getaway',"b'Monologue, Seiun Sky, Silence Suzuka, Special Week'"
b'Ending (Normal)',"b'Monologue, Racing Commentator, Silence Suzuka'"
b'A New Rival',"b'Air Groove, El Condor Pasa, Monologue, Silence Suzuka, Special Week'"
b'An Inspiring Streak',"b'Caster, Monologue, Reporter A, Silence Suzuka'"
b'Ready for a Challenge',"b'Monologue, Silence Suzuka'"
b'Not This Time!',b'Silence Suzuka'
b'Claw Machine!',"b'Monologue, Silence Suzuka'"
b'Claw Machine: Great Success!',"b'Monologue, Silence Suzuka'"
b'Claw Machine: Success!',"b'Monologue, Silence Suzuka'"
b'Claw Machine: Failure...',"b'Monologue, Silence Suzuka'"
b'Claw Machine: Great Success!',"b'Monologue, Silence Suzuka'"
b'Claw Machine: Success!',"b'Monologue, Silence Suzuka'"
b'Master Trainer',"b'Monologue, Silence Suzuka'"
b'Dance Lesson',"b'Monologue, Silence Suzuka'"
b'Fan Letter',"b'Monologue, Silence Suzuka'"
b'Forecast: Gloomy...',"b'Monologue, Silence Suzuka'"
b'Idle Mode',"b'Monologue, Silence Suzuka'"
b'New Scenery',"b'Monologue, Silence Suzuka'"
"b""Teaching Suzuka's Style""","b'Air Groove, Monologue, Silence Suzuka, Young Student A, Young Student B'"
b'Party Time',"b'Monologue, Silence Suzuka, Taiki Shuttle'"
b'On My Heels',"b'Monologue, Silence Suzuka, Special Week'"
b'My Little Snowscape',"b'Monologue, Silence Suzuka'"
b'To Make You Happy',"b'Monologue, Silence Suzuka'"
b'Our Little Snowscape',"b'Monologue, Silence Suzuka'"
b'How to Spend a Rainy Day',"b'Monologue, Silence Suzuka'"
b'Are They Compatible?',"b'Matikanefukukitaru, Monologue, Silence Suzuka'"
b'The Look of the Sky',"b'Monologue, Silence Suzuka'"
b'An Unseen Summit',"b'???, Air Groove, Monologue, Silence Suzuka'"
b'Night Owl',"b'Monologue, Silence Suzuka'"
b'Skin Troubles',"b'Monologue, Silence Suzuka'"
b'Race Fatigue',"b'Monologue, Silence Suzuka'"
b'After Repeated Races...',"b'Monologue, Silence Suzuka'"
b'Victory!',b'Silence Suzuka'
b'Solid Showing',b'Silence Suzuka'
b'Defeat',b'Silence Suzuka'
b'No More Losing!',b'Silence Suzuka'
b'Sleep Deprived',"b'Monologue, Silence Suzuka'"
b'All Refreshed',"b'Monologue, Silence Suzuka'"
b'Well-Rested!',"b'Monologue, Silence Suzuka'"
b'Praying at the Shrine!',"b'Matikanefukukitaru, Monologue, Silence Suzuka'"
b'Slacking Off',"b'Monologue, Silence Suzuka'"
b'Get Well Soon!',b'Silence Suzuka'
"b""Don't Overdo It!""","b'Monologue, Silence Suzuka'"
b'At the Infirmary',"b'Monologue, Silence Suzuka'"
b'Extra Training',"b'Monologue, Silence Suzuka'"
b'Diet: Success!',"b'Monologue, Silence Suzuka, Special Week'"
b'White Temptation',"b'Monologue, Silence Suzuka'"
"b'Just an Acupuncturist, No Worries! \xe2\x98\x86'","b'???, Monologue, Sasami Anshinzawa, Silence Suzuka'"
b'Naptime Escape',"b'Monologue, Silence Suzuka, Umamusume A, Umamusume B, Umamusume C'"
b'Migraine Blues',"b'Monologue, Silence Suzuka'"
b'The Color of the Landscape',"b'Monologue, Silence Suzuka'"
b'Hobbies and Talents',"b'Monologue, Silence Suzuka'"
b'Umadol \xe2\x98\x86 Special Class!',"b'Mihono Bourbon, Monologue, Silence Suzuka, Smart Falcon'"
b'The Invincible Teio!',"b'Caster, Fan A, Fan B, Girl A, Monologue, New Trainer A, Spectators, Symboli Rudolf, Tokai Teio, Veteran Trainer A'"
b'Most Amazingest',"b'Monologue, Symboli Rudolf, Tokai Teio'"
b'The Sting of Perfection',"b'Monologue, Symboli Rudolf, Tokai Teio, Umamusume, Umamusume A, Umamusume B'"
b'A Legend Begins',"b'Caster, Monologue, Spectators, Symboli Rudolf, Tokai Teio'"
b'Pacing',"b'Monologue, Tokai Teio'"
b'Step Up',"b'Arcade Worker, Crowd, Girl, Monologue, Mother, Tokai Teio'"
"b""Two's Company""","b'Monologue, Tokai Teio'"
b'Introducing Tokai Teio!',"b'Monologue, Symboli Rudolf, Tokai Teio, Umamusume A'"
b'Before the Debut',"b'Monologue, Tokai Teio'"
b'After the Debut: The Monarch Sets Forth',"b'Air Groove, Monologue, Tokai Teio'"
b'A Lofty Goal',"b'Air Groove, Caster, Monologue, Tokai Teio'"
"b""New Year's Resolutions""","b'Monologue, Tokai Teio'"
b'Before the Wakagoma Stakes',"b'Monologue, Tokai Teio'"
b'After the Wakagoma Stakes: To the Triple Crown!',"b'Monologue, Tokai Teio'"
b'Pre-Classics Press Conference',"b'Monologue, Oguri Cap, Reporter A, Reporter B, Reporters, Symboli Rudolf, Tamamo Cross, Tokai Teio'"
b'Before the Satsuki Sho',"b'Monologue, Tokai Teio'"
b'After the Satsuki Sho: The First Crown!',"b'Monologue, Spectator A, Spectator B, Tokai Teio'"
b'After the Satsuki Sho: Not Finished Fighting!',"b'Monologue, Tokai Teio'"
b'Before the Japanese Derby',"b'Monologue, Tokai Teio'"
b'After the Japanese Derby: The Second Crown!',"b'Monologue, Spectator A, Spectator B, Tokai Teio'"
b'After the Japanese Derby: Never Back Down!',"b'Monologue, Tokai Teio'"
b'Going to the Kikuka Sho!',"b'Infirmary Doctor, Monologue, Tokai Teio, Umamusume A, Umamusume B'"
b'Summer Camp (Year 2) Begins!',"b'Monologue, Tokai Teio'"
b'At Summer Camp (Year 2)',"b'Monologue, Tokai Teio'"
b'Summer Camp (Year 2) Ends',"b'Monologue, Tokai Teio'"
b'Before the Kikuka Sho',"b'Monologue, Tokai Teio'"
b'Before the Kikuka Sho',"b'Monologue, Tokai Teio'"
b'After the Kikuka Sho: Triple Crown Champion!',"b'Caster, Monologue, Spectator A, Spectator B, Tokai Teio'"
b'After the Kikuka Sho: Not Done Yet!',"b'Monologue, Tokai Teio'"
"b""New Year's Shrine Visit""","b'Monologue, Tokai Teio'"
b'Raffle Time!',"b'Monologue, Raffle Clerk, Tokai Teio'"
"b""Valentine's Day""","b'Monologue, Tokai Teio'"
b'Earth vs Heaven',"b'Mejiro McQueen, Monologue, Reporter A, Reporter B, Reporter C, Symboli Rudolf, Tokai Teio'"
b'Fan Fest',"b'Biwa Hayahide, Nice Nature, Smart Falcon, Symboli Rudolf, Tokai Teio'"
b'Before the Tenno Sho (Spring)',"b'Mejiro McQueen, Monologue, Spectator A, Tokai Teio'"
b'After the Tenno Sho (Spring): The Missing Piece',"b'Mejiro McQueen, Monologue, Symboli Rudolf, Tokai Teio'"
b'After the Tenno Sho (Spring): Why?',"b'Mejiro McQueen, Monologue, Symboli Rudolf, Tokai Teio'"
"b""What's Lacking""","b'Caster Umamusume, Mejiro McQueen, Monologue, Tokai Teio'"
b'The Path Beyond Defeat',"b'Mejiro McQueen, Monologue, Symboli Rudolf, Tokai Teio, Umamusume A, Umamusume B'"
b'Summer Camp (Year 3) Begins!',"b'Monologue, Tokai Teio'"
b'Summer Camp (Year 3) Ends',"b'Monologue, Tokai Teio'"
b'Before the Japan Cup',"b'Monologue, Tokai Teio'"
b'After the Japan Cup: The Emperor',"b'Monologue, Symboli Rudolf, Tokai Teio'"
b'Holiday Season',"b'Mayano Top Gun, Monologue, Tokai Teio'"
b'Before the Arima Kinen',"b'Monologue, Tokai Teio'"
b'After the Arima Kinen: The Monarch Reigns',"b'Monologue, Spectator A, Spectator B, Symboli Rudolf, Tokai Teio'"
b'Hot Spring Getaway',"b'Monologue, Tokai Teio'"
b'Ending (Normal)',"b'Monologue, Tokai Teio'"
b'Triumphant Return',"b'Monologue, Reporter A, Reporter B, Reporter C, Tokai Teio, Young Umamusume'"
b'A Springtime Celebration',"b'???, Kitasan Black, Monologue, Tokai Teio'"
b'Ready for a Challenge',b'Tokai Teio'
b'Not This Time!',"b'Monologue, Tokai Teio'"
b'Claw Machine!',"b'Monologue, Tokai Teio'"
b'Claw Machine: Great Success!',"b'Monologue, Tokai Teio'"
b'Claw Machine: Success!',"b'Monologue, Tokai Teio'"
b'Claw Machine: Failure...',"b'Monologue, Tokai Teio'"
b'Claw Machine: Great Success!',"b'Monologue, Tokai Teio'"
b'Claw Machine: Success!',"b'Monologue, Tokai Teio'"
b'Master Trainer',"b'Air Groove, Monologue, Symboli Rudolf, Tokai Teio'"
b'Dance Lesson',"b'Monologue, Tokai Teio'"
b'Fan Letter',"b'Monologue, Tokai Teio'"
b'No Encounter',"b'Monologue, Tokai Teio'"
"b""I Won't Lose!""","b'Boy A, Children, Monologue, Tokai Teio'"
"b""I'm Fine...""","b'Monologue, Tokai Teio'"
b'Empress vs Monarch',"b'Air Groove, Monologue, Tokai Teio'"
b'Cupcakes for All',"b'Daiwa Scarlet, Mejiro McQueen, Monologue, Tokai Teio, Vodka'"
"b""Teio's Warrior Training""","b'Monologue, Tokai Teio, Umamusume A'"
b'I Got Praised!',"b'Monologue, Symboli Rudolf, Tokai Teio'"
b'I Got Scolded!',"b'Daiwa Scarlet, Monologue, Tokai Teio'"
b'I Figured It Out!',"b'Monologue, Symboli Rudolf, Tokai Teio'"
b'Grown-Up Time',"b'Mayano Top Gun, Monologue, Tokai Teio'"
b'Punny Prez',"b'Monologue, Symboli Rudolf, Tokai Teio'"
b'Karaoke Power?',"b'Daiwa Scarlet, Everyone, Gold Ship, Monologue, Tokai Teio, Vodka'"
"b'Teio, an Umadol?!'","b'Monologue, Smart Falcon, Tokai Teio'"
"b""You Can't Have It!""","b'???, Both, Monologue, Special Week, Tokai Teio, Twin Turbo'"
"b""What's Missing""","b'Cheers, Monologue, Spectator A, Spectator B, Tokai Teio'"
b'Night Owl',"b'Monologue, Tokai Teio'"
b'Skin Troubles',b'Tokai Teio'
b'Race Fatigue',"b'Monologue, Tokai Teio'"
b'After Repeated Races...',"b'Monologue, Tokai Teio'"
b'Victory!',b'Tokai Teio'
b'Solid Showing',b'Tokai Teio'
b'Defeat',b'Tokai Teio'
b'No More Losing!',b'Tokai Teio'
b'Sleep Deprived',b'Tokai Teio'
b'All Refreshed',b'Tokai Teio'
b'Well-Rested!',"b'Monologue, Tokai Teio'"
b'Praying at the Shrine!',"b'Monologue, Tokai Teio'"
b'Slacking Off',"b'Monologue, Tokai Teio'"
b'Get Well Soon!',"b'Monologue, Tokai Teio'"
"b""Don't Overdo It!""","b'Monologue, Tokai Teio'"
b'At the Infirmary',"b'???, Monologue, The Earth, The Nature, The Sky, The Universe, Tokai Teio'"
b'Extra Training',"b'Monologue, Tokai Teio'"
b'Back in Shape!',"b'Karaoke Staff, Monologue, Tokai Teio'"
b'Secret to Strength',"b'Monologue, Oguri Cap, Tamamo Cross, Tokai Teio'"
"b'Just an Acupuncturist, No Worries! \xe2\x98\x86'","b'???, Monologue, Sasami Anshinzawa, Tokai Teio'"
"b""Teio's Got This \xe2\x99\xaa""","b'Monologue, Tokai Teio'"
b'Migraine Blues',"b'Monologue, Tokai Teio'"
b'Good Luck Charm',"b'Monologue, Symboli Rudolf, Tokai Teio'"
"b'Rivals on Paper, Friends in Practice'","b'Library Staff, Mejiro McQueen, Monologue, Tokai Teio'"
b'Selfish Teio and a Nostalgic View',"b'Mejiro McQueen, Monologue, Old Lady, Tokai Teio'"
b'The Secret to Teio Tenacity',"b'Kitasan Black, Tokai Teio, Umamusume A, Umamusume B'"
b'Racewear Like Prez',"b'Air Groove, Daiwa Scarlet, Mejiro McQueen, Monologue, Tokai Teio, Vodka'"
"b""I'm Never Giving Up!""","b'Symboli Rudolf, Tokai Teio'"
b'Blowing in the Breeze',"b'Caster, Maruzensky, Monologue, New Trainer A, Skilled Trainer A, Spectators, Trainers, Young Umamusume A, Young Umamusume B'"
b'Different from the Rest',"b'Maruzensky, Monologue'"
b'Becoming One with the Wind',"b'Maruzensky, Monologue'"
b'Twinkly Dreams',"b'Maruzensky, Monologue, Special Week'"
b'I Do It for the Smiles',"b'Maruzensky, Monologue'"
b'Off the Track',"b'Maruzensky, Monologue'"
b'I Can Be Myself with You',"b'Maruzensky, Monologue'"
b'Introducing Maruzensky!',"b'Maruzensky, Monologue, Reporter A, Reporter B'"
b'Before the Debut',"b'Maruzensky, Monologue'"
b'After the Debut: I Love Racing!',b'Maruzensky'
b'Feeling Top Gear',"b'Grass Wonder, Maruzensky, Monologue, Special Week'"
b'Before the Asahi Hai F.S.',"b'Maruzensky, Monologue, PA Announcement, Umamusume Classmate'"
b'After the Asahi Hai F.S.: Just Having Fun',b'Maruzensky'
"b""New Year's Resolutions""","b'Maruzensky, Monologue'"
b'Before the Spring S.',"b'Maruzensky, Monologue'"
b'After the Spring S.: Something Feels Different',b'Maruzensky'
b'Walk the Walk',"b'Maruzensky, Monologue, Reporter A, Reporter B, Reporter C'"
b'Before the Satsuki Sho',"b'Maruzensky, Monologue'"
"b""After the Satsuki Sho: Everyone's Goal""",b'Maruzensky'
b'Before the Japanese Derby',b'Maruzensky'
b'After the Japanese Derby: A Chance to Show Off',b'Maruzensky'
b'Summer Camp (Year 2) Begins!',"b'Maruzensky, Monologue'"
b'At Summer Camp (Year 2)',"b'Maruzensky, Monologue'"
b'Summer Camp (Year 2) Ends',"b'Maruzensky, Monologue'"
b'Before the Arima Kinen',"b'Maruzensky, Monologue, Spectator A, Spectator B, Umamusume Classmate'"
b'After the Arima Kinen: The Best Feeling',"b'Maruzensky, Reporter A, Reporter B'"
"b""New Year's Shrine Visit""","b'Maruzensky, Monologue'"
b'Raffle Time!',"b'Maruzensky, Monologue, Vegetable Seller'"
"b""Valentine's Day""","b'Maruzensky, Monologue'"
b'To New Heights',"b'Grass Wonder, Maruzensky, Monologue, Special Week, Symboli Rudolf'"
b'Before the Osaka Hai',"b'Grass Wonder, Maruzensky, Monologue, Special Week'"
b'After the Osaka Hai: Running on High',"b'Maruzensky, Monologue, Spectator A, Spectator B'"
b'Fan Fest',"b'Maruzensky, Monologue'"
b'A Fun Race',"b'Grass Wonder, Infirmary Doctor, Maruzensky, Monologue, Special Week'"
b'Before the Yasuda Kinen',"b'Maruzensky, Monologue'"
b'After the Yasuda Kinen: A Race I Want to Run',b'Maruzensky'
b'Summer Camp (Year 3) Begins!',"b'Maruzensky, Monologue'"
b'Summer Camp (Year 3) Ends',"b'Maruzensky, Monologue'"
b'Bring It',"b'Maruzensky, Monologue'"
b'Before the Tenno Sho (Autumn)',"b'Maruzensky, Monologue'"
b'After the Tenno Sho (Autumn): Miles to Go',"b'Maruzensky, Monologue, Special Week, Spectator A, Spectator B'"
b'Holiday Season',"b'El Condor Pasa, Grass Wonder, King Halo, Maruzensky, Monologue, Seiun Sky, Special Week'"
b'Hot Spring Getaway',"b'Maruzensky, Monologue'"
b'Ending (Normal)',"b'Maruzensky, Monologue'"
b'The Coolest Spot',"b'Maruzensky, Monologue'"
b'Fukushima in Summer',"b'Maruzensky, Monologue, Special Week, Spectator A, Spectator B'"
b'Ready for a Challenge',b'Maruzensky'
b'Not This Time!',b'Maruzensky'
b'Claw Machine!',"b'Maruzensky, Monologue'"
b'Claw Machine: Great Success!',b'Maruzensky'
b'Claw Machine: Success!',b'Maruzensky'
b'Claw Machine: Failure...',b'Maruzensky'
b'Claw Machine: Great Success!',b'Maruzensky'
b'Claw Machine: Success!',b'Maruzensky'
b'Master Trainer',"b'Maruzensky, Monologue'"
b'Dance Lesson',"b'Maruzensky, Monologue'"
b'Fan Letter',"b'Maruzensky, Monologue'"
b'Golden Oldies?',"b'Maruzensky, Monologue, Radio DJ'"
b'Big Trouble!',b'Maruzensky'
b'Virtual Car Race',"b'Maruzensky, Monologue'"
b'Hot Rod',b'Maruzensky'
"b""Let's Play \xe2\x99\xaa""","b'Maruzensky, Monologue, Tazuna Hayakawa'"
"b""A Lady's Style \xe2\x98\x86""","b'Cafeteria Staff, Maruzensky, Monologue'"
b'The Secret to Supporting Each Other',"b'Maruzensky, Monologue'"
b'Even Role Models Get Lonely',"b'Maruzensky, Monologue'"
b'Take the Wheel',"b'Maruzensky, Monologue'"
b'Meeting New People Is Trendy \xe2\x98\x86',"b'Maruzensky, Monologue'"
b'The Fun Never Stops \xe2\x99\xaa',"b'Maruzensky, Monologue'"
"b""Let's Cook!""","b'Maruzensky, Monologue, Special Week'"
b'The Road to a Rad Victory!',"b'Maruzensky, Monologue, Rice Shower'"
b'Down to Dance!',"b'Maruzensky, Monologue, Winning Ticket'"
b'A Totally Bomb \xe2\x98\x86 New Feeling',"b'Maruzensky, Monologue'"
b'Night Owl',b'Maruzensky'
b'Skin Troubles',"b'Maruzensky, Monologue'"
b'Race Fatigue',"b'Maruzensky, Monologue'"
b'After Repeated Races...',"b'Maruzensky, Monologue'"
b'Victory!',b'Maruzensky'
b'Solid Showing',b'Maruzensky'
b'Defeat',b'Maruzensky'
b'No More Losing!',b'Maruzensky'
b'Sleep Deprived',b'Maruzensky'
b'All Refreshed',b'Maruzensky'
b'Well-Rested!',b'Maruzensky'
b'Praying at the Shrine!',"b'Maruzensky, Monologue'"
b'Slacking Off',"b'Maruzensky, Monologue'"
b'Get Well Soon!',b'Maruzensky'
"b""Don't Overdo It!""","b'Maruzensky, Monologue'"
b'At the Infirmary',"b'Maruzensky, Monologue, New Human A'"
b'Extra Training',"b'Maruzensky, Monologue'"
b'Back in Shape!',"b'Maruzensky, Monologue, Special Week'"
b'Nostalgia Fever \xe2\x98\x86',"b'Grass Wonder, Maruzensky, Monologue, Special Week'"
"b'Just an Acupuncturist, No Worries! \xe2\x98\x86'","b'???, Maruzensky, Monologue, Sasami Anshinzawa'"
b'Shockingly Careless',"b'Maruzensky, Monologue'"
b'Migraine Blues',"b'Maruzensky, Monologue'"
